Extra options: []
Measured: 10 times

Total Average: 40.894400 msec
Total Max:     41.716000 msec
Total Min:     40.292000 msec

  AVERAGE       MAX       MIN
------------------------------
18.774600 18.964000 18.590000: /Users/yukini/.config/nvim/init.vim
 4.869900  5.216000  4.552000: inits 1
 4.390700  4.482000  4.257000: loading rtp plugins
 4.019200  4.239000  3.790000: /Users/yukini/.vim/plugged/gruvbox-material/colors/gruvbox-material.vim
 3.074300  3.187000  3.015000: require('nvim-treesitter.configs')
 2.761200  2.868000  2.699000: require('nvim-treesitter.query')
 2.501400  2.578000  2.461000: BufEnter autocommands
 1.987300  2.007000  1.952000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/syntax/syntax.vim
 1.661700  2.110000  1.573000: /Users/yukini/.vim/plugged/coc.nvim/plugin/coc.vim
 1.235200  1.307000  1.190000: require('nvim-treesitter.tsrange')
 1.221600  1.237000  1.207000: require('nvim-treesitter.compat')
 1.142700  1.157000  1.130000: require('vim.treesitter')
 1.110800  1.177000  1.067000: require('nvim-treesitter.ts_utils')
 0.985500  1.012000  0.965000: reading ShaDa
 0.924700  0.936000  0.914000: require('vim.treesitter.languagetree')
 0.924100  0.944000  0.904000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/matchit.vim
 0.909300  0.964000  0.851000: /Users/yukini/.vim/plugged/nvim-treesitter/plugin/nvim-treesitter.lua
 0.860800  0.886000  0.840000: /Users/yukini/.vim/plugged/gruvbox-material/autoload/lightline/colorscheme/gruvbox_material.vim
 0.847200  0.894000  0.821000: /Users/yukini/.vim/plugged/fern.vim/autoload/fern/util.vim
 0.843100  0.854000  0.831000: /Users/yukini/.local/share/nvim/site/autoload/plug.vim
 0.777200  0.843000  0.735000: require('nvim-treesitter.parsers')
 0.682300  0.716000  0.668000: require('nvim-treesitter')
 0.679700  0.687000  0.671000: require('vim.filetype.detect')
 0.661000  0.673000  0.650000: /Users/yukini/.vim/plugged/vim-go/plugin/go.vim
 0.649000  0.672000  0.634000: require('vim.filetype')
 0.633200  0.642000  0.625000: require('nvim-treesitter.install')
 0.451100  0.480000  0.444000: require('vim.treesitter.query')
 0.443600  0.460000  0.430000: sourcing vimrc file(s)
 0.239800  0.254000  0.227000: locale set
 0.220700  0.233000  0.216000: /Users/yukini/.vim/plugged/vim-go/autoload/go/util.vim
 0.213900  0.215000  0.212000: /Users/yukini/.vim/plugged/vim-go/autoload/go/config.vim
 0.201400  0.228000  0.191000: /Users/yukini/.vim/plugged/lightline.vim/autoload/lightline.vim
 0.195200  0.199000  0.190000: init lua interpreter
 0.187000  0.242000  0.178000: /Users/yukini/.vim/plugged/coc.nvim/autoload/coc/util.vim
 0.186800  0.218000  0.171000: /Users/yukini/.vim/plugged/telescope.nvim/plugin/telescope.lua
